,country,totCase,date
0,World,274750000,2021-12-19
1,High income,123910000,2021-12-19
2,Upper middle income,84740000,2021-12-19
3,Asia,83620000,2021-12-19
4,Europe,81590000,2021-12-19
5,Lower middle income,64670000,2021-12-19
6,North America,60670000,2021-12-19
7,European Union,51400000,2021-12-19
8,United States,50890000,2021-12-19
9,South America,39270000,2021-12-19
10,India,34750000,2021-12-19
11,Brazil,22220000,2021-12-19
12,United Kingdom,11380000,2021-12-19
13,Russia,10040000,2021-12-19
14,Africa,9190000,2021-12-19
15,Turkey,9170000,2021-12-19
16,France,8670000,2021-12-19
17,Germany,6810000,2021-12-19
18,Iran,6170000,2021-12-19
19,Spain,5460000,2021-12-19
20,Argentina,5390000,2021-12-19
21,Italy,5390000,2021-12-19
22,Colombia,5110000,2021-12-19
23,Indonesia,4260000,2021-12-19
24,Poland,3960000,2021-12-19
25,Mexico,3930000,2021-12-19
26,Ukraine,3790000,2021-12-19
27,South Africa,3310000,2021-12-19
28,Netherlands,2980000,2021-12-19
29,Philippines,2840000,2021-12-19
30,Malaysia,2720000,2021-12-19
31,Czechia,2400000,2021-12-19
32,Peru,2270000,2021-12-19
33,Thailand,2190000,2021-12-19
34,Iraq,2089999,2021-12-19
35,Belgium,2000000,2021-12-19
36,Canada,1890000,2021-12-19
37,Romania,1800000,2021-12-19
38,Chile,1790000,2021-12-19
39,Japan,1730000,2021-12-19
40,Bangladesh,1580000,2021-12-19
41,Vietnam,1540000,2021-12-19
42,Low income,1420000,2021-12-19
43,Israel,1360000,2021-12-19
44,Slovakia,1330000,2021-12-19
45,Pakistan,1290000,2021-12-19
46,Serbia,1280000,2021-12-19
47,Austria,1250000,2021-12-19
48,Sweden,1250000,2021-12-19
49,Portugal,1230000,2021-12-19
50,Hungary,1220000,2021-12-19
51,Switzerland,1180000,2021-12-19
52,Kazakhstan,1070000,2021-12-19
53,Jordan,1040000,2021-12-19
54,Greece,1030000,2021-12-19
55,Cuba,964097,2021-12-19
56,Morocco,952814,2021-12-19
57,Georgia,909160,2021-12-19
58,Nepal,825736,2021-12-19
59,United Arab Emirates,744137,2021-12-19
60,Bulgaria,724793,2021-12-19
61,Tunisia,721031,2021-12-19
62,Lebanon,700943,2021-12-19
63,Belarus,684628,2021-12-19
64,Croatia,675363,2021-12-19
65,Ireland,656600,2021-12-19
66,Guatemala,623731,2021-12-19
67,Denmark,617274,2021-12-19
68,Azerbaijan,610318,2021-12-19
69,Sri Lanka,579685,2021-12-19
70,South Korea,570414,2021-12-19
71,Costa Rica,568538,2021-12-19
72,Bolivia,564747,2021-12-19
73,Saudi Arabia,550842,2021-12-19
74,Ecuador,536129,2021-12-19
75,Myanmar,528253,2021-12-19
76,Lithuania,502345,2021-12-19
77,Panama,483063,2021-12-19
78,Palestine,465094,2021-12-19
79,Paraguay,464096,2021-12-19
80,Slovenia,448562,2021-12-19
81,Venezuela,441562,2021-12-19
82,Oceania,416229,2021-12-19
83,Kuwait,414098,2021-12-19
84,Dominican Republic,411721,2021-12-19
85,Uruguay,404460,2021-12-19
86,Mongolia,387116,2021-12-19
87,Libya,381749,2021-12-19
88,Honduras,378685,2021-12-19
89,Ethiopia,376375,2021-12-19
90,Egypt,375330,2021-12-19
91,Moldova,372200,2021-12-19
92,Norway,350424,2021-12-19
93,Armenia,343636,2021-12-19
94,Oman,304843,2021-12-19
95,Bosnia and Herzegovina,284272,2021-12-19
96,Bahrain,278499,2021-12-19
97,Singapore,275910,2021-12-19
98,Latvia,267139,2021-12-19
99,Kenya,263707,2021-12-19
100,Australia,254682,2021-12-19
101,Qatar,246537,2021-12-19
102,Estonia,232120,2021-12-19
103,Nigeria,223483,2021-12-19
104,North Macedonia,221285,2021-12-19
105,Zambia,216508,2021-12-19
106,Algeria,214592,2021-12-19
107,Finland,213318,2021-12-19
108,Albania,205777,2021-12-19
109,Botswana,199864,2021-12-19
110,Uzbekistan,197074,2021-12-19
111,Zimbabwe,191673,2021-12-19
112,Kyrgyzstan,184195,2021-12-19
113,Kosovo,161262,2021-12-19
114,Montenegro,160995,2021-12-19
115,Mozambique,159904,2021-12-19
116,Afghanistan,157787,2021-12-19
117,Cyprus,145161,2021-12-19
118,Namibia,138184,2021-12-19
119,Ghana,131911,2021-12-19
120,Uganda,129061,2021-12-19
121,El Salvador,121530,2021-12-19
122,Cambodia,120416,2021-12-19
123,Cameroon,107662,2021-12-19
124,Rwanda,101582,2021-12-19
125,China,100386,2021-12-19
126,Laos,98572,2021-12-19
127,Luxembourg,96108,2021-12-19
128,Maldives,93957,2021-12-19
129,Jamaica,92018,2021-12-19
130,Trinidad and Tobago,85422,2021-12-19
131,Senegal,74161,2021-12-19
132,Angola,65938,2021-12-19
133,Malawi,64741,2021-12-19
134,Democratic Republic of Congo,64448,2021-12-19
135,Cote d'Ivoire,62077,2021-12-19
136,Eswatini,60036,2021-12-19
137,Fiji,52623,2021-12-19
138,Suriname,51416,2021-12-19
139,Syria,49751,2021-12-19
140,Madagascar,47295,2021-12-19
141,French Polynesia,46342,2021-12-19
142,Sudan,45112,2021-12-19
143,Malta,41853,2021-12-19
144,Mauritania,40083,2021-12-19
145,Guyana,38870,2021-12-19
146,Cape Verde,38589,2021-12-19
147,Gabon,37743,2021-12-19
148,Papua New Guinea,36004,2021-12-19
149,Belize,31246,2021-12-19
150,Guinea,30814,2021-12-19
151,Barbados,27169,2021-12-19
152,Togo,26678,2021-12-19
153,Tanzania,26483,2021-12-19
154,Haiti,25920,2021-12-19
155,Lesotho,25528,2021-12-19
156,Benin,24907,2021-12-19
157,Seychelles,24047,2021-12-19
158,Somalia,23169,2021-12-19
159,Bahamas,22995,2021-12-19
160,Mauritius,22965,2021-12-19
161,Burundi,21422,2021-12-19
162,Andorra,20549,2021-12-19
163,Iceland,20232,2021-12-19
164,Timor,19833,2021-12-19
165,Mali,19306,2021-12-19
166,Congo,19179,2021-12-19
167,Curacao,17770,2021-12-19
168,Tajikistan,17493,2021-12-19
169,Nicaragua,17391,2021-12-19
170,Aruba,16807,2021-12-19
171,Taiwan,16805,2021-12-19
172,Burkina Faso,16672,2021-12-19
173,Brunei,15402,2021-12-19
174,Equatorial Guinea,13618,2021-12-19
175,Djibouti,13535,2021-12-19
176,New Zealand,13495,2021-12-19
177,South Sudan,13309,2021-12-19
178,Saint Lucia,13149,2021-12-19
179,Isle of Man,13097,2021-12-19
180,New Caledonia,12581,2021-12-19
181,Hong Kong,12526,2021-12-19
182,Central African Republic,11961,2021-12-19
183,Yemen,10101,2021-12-19
184,Gambia,10051,2021-12-19
185,Cayman Islands,8097,2021-12-19
186,Gibraltar,7822,2021-12-19
187,Eritrea,7763,2021-12-19
188,Niger,7199,2021-12-19
189,San Marino,7007,2021-12-19
190,Sierra Leone,6505,2021-12-19
191,Guinea-Bissau,6456,2021-12-19
192,Dominica,6286,2021-12-19
193,Grenada,5919,2021-12-19
194,Liberia,5844,2021-12-19
195,Bermuda,5815,2021-12-19
196,Saint Vincent and the Grenadines,5758,2021-12-19
197,Chad,5703,2021-12-19
198,Liechtenstein,5661,2021-12-19
199,Faeroe Islands,4735,2021-12-19
200,Comoros,4649,2021-12-19
201,Monaco,4406,2021-12-19
202,Antigua and Barbuda,4198,2021-12-19
203,Sao Tome and Principe,3735,2021-12-19
204,Bonaire Sint Eustatius and Saba,3204,2021-12-19
205,Turks and Caicos Islands,3163,2021-12-19
206,British Virgin Islands,2886,2021-12-19
207,Saint Kitts and Nevis,2801,2021-12-19
208,Bhutan,2657,2021-12-19
209,Greenland,1969,2021-12-19
210,Anguilla,1592,2021-12-19
211,International,721,2021-12-19
212,Wallis and Futuna,454,2021-12-19
213,Saint Pierre and Miquelon,96,2021-12-19
214,Falkland Islands,83,2021-12-19
215,Macao,77,2021-12-19
216,Montserrat,44,2021-12-19
217,Vatican,27,2021-12-19
218,Solomon Islands,20,2021-12-19
219,Palau,8,2021-12-19
220,Vanuatu,7,2021-12-19
221,Marshall Islands,4,2021-12-19
222,Saint Helena,4,2021-12-19
223,Samoa,3,2021-12-19
224,Kiribati,2,2021-12-19
225,Cook Islands,2,2021-12-19
226,Tonga,1,2021-12-19
227,Micronesia (country),1,2021-12-19
